encounter_id,miss_distance_m,pc,lead_time_nocoop_min,lead_time_cooperative_min,lead_time_gain_min
ENC-59397-60314-261600,974.8,0.00011960173474139162,1207.0,4320.0,3113.0
ENC-57867-61924-502650,975.8,0.00011911546594311614,1206.0,4320.0,3114.0
ENC-62155-67958-285630,977.3,0.00011845033071587852,1204.0,4320.0,3116.0
ENC-52372-53743-376740,977.5,0.00011835870357773147,1204.0,4320.0,3116.0
ENC-53705-58972-324570,978.7,0.0001178114179786562,1203.0,4320.0,3117.0
ENC-63019-66502-306210,984.5,0.00011511954099229299,1196.0,4320.0,3124.0
ENC-53062-68213-420540,986.8,0.00011409704357185497,1194.0,4320.0,3126.0
ENC-63965-67918-426450,988.0,0.00011354016752114684,1193.0,4320.0,3127.0
ENC-56908-57613-296010,991.4,0.0001120499652431487,1189.0,4320.0,3131.0
ENC-55592-66983-328710,996.5,0.00010981288714078592,1183.0,4320.0,3137.0
ENC-66114-66133-341400,998.2,0.0001090610073526657,1181.0,4320.0,3139.0
ENC-60037-67976-343890,998.7,0.00010882377931399142,1181.0,4320.0,3139.0
ENC-57074-58509-447450,1002.9,0.00010702589245438295,1176.0,4320.0,3144.0
ENC-65435-69434-468420,1003.7,0.00010669246708729252,1175.0,4320.0,3145.0
ENC-68155-69486-442470,1004.0,0.00010653908108453543,1175.0,4320.0,3145.0
ENC-68147-68160-562260,1004.7,0.00010623192680289142,1174.0,4320.0,3146.0
ENC-52543-60346-582000,1006.8,0.00010535590269551728,1172.0,4320.0,3148.0
ENC-51118-58949-363300,1007.4,0.00010510099171894485,1171.0,4320.0,3149.0
ENC-68861-69350-300810,1007.9,0.00010490403275021963,1170.0,4320.0,3150.0
ENC-57771-66428-347220,1008.3,0.00010472173510478319,1170.0,4320.0,3150.0
ENC-65242-65675-471690,1014.2,0.00010225242639084303,1163.0,4320.0,3157.0
ENC-58544-61005-297030,1014.7,0.00010205786784181202,1162.0,4320.0,3158.0
ENC-64741-64750-537870,1016.0,0.00010151036885283629,1161.0,4320.0,3159.0
ENC-64084-67941-282240,1018.0,0.00010069463951760258,1158.0,4320.0,3162.0
ENC-56427-58206-416820,1018.4,0.00010051384735914341,1158.0,4320.0,3162.0
ENC-64608-66185-411270,1019.1,0.00010022457829446785,1157.0,4320.0,3163.0
ENC-59255-59272-412500,1019.4,0.00010011720641709683,1157.0,4320.0,3163.0
